id,cidade,area,quantidade_quartos,quantidade_banheiros,quantidade_vagas,andar,permitido_animal,mobiliado,aluguel,imposto_imovel,seguro_fogo,total
1789,Porto Alegre,68,2,1,0,3,true,true,70000,1900,1100,100000
1790,São Paulo,530,4,4,4,4,true,true,500000,163600,6400,1056000
1791,São Paulo,210,3,2,2,-,true,true,350000,10100,5300,365400
1792,Rio de Janeiro,33,1,1,0,8,true,true,330000,10000,2500,402500
1793,São Paulo,40,2,1,0,3,true,true,110000,0,1400,146200
1794,Belo Horizonte,200,5,5,8,-,true,true,600000,101700,9900,711600
1795,São Paulo,58,2,1,2,10,true,true,136000,0,1800,176100
1796,São Paulo,120,3,3,2,6,true,true,340000,13400,4400,537800
1797,São Paulo,162,3,4,0,-,true,true,320000,26700,4900,351600
1798,São Paulo,301,4,5,4,3,true,true,1250000,160000,15900,1852000
1799,São Paulo,40,1,1,0,1,true,true,180000,3800,2300,201100
1800,Rio de Janeiro,45,1,1,0,5,true,true,100000,3400,1300,179700
1801,Rio de Janeiro,135,3,2,1,2,true,true,306000,42800,4000,546800
1802,São Paulo,135,3,2,1,4,true,true,329000,27900,4200,498900
1803,Porto Alegre,102,3,2,2,8,true,true,552500,22500,8100,695600
1804,São Paulo,76,2,2,2,6,true,true,140000,12300,1800,251900
1805,São Paulo,180,4,1,1,13,true,true,850000,40000,10800,1143000
1806,Belo Horizonte,72,2,2,1,-,true,true,125000,6600,2100,133700
1807,São Paulo,128,2,3,1,4,true,true,433900,8500,5500,523400
1808,Campinas,60,3,2,0,2,true,true,236200,8800,3000,283000
1809,São Paulo,44,1,1,0,4,true,true,250000,3000,3200,301200
1810,São Paulo,189,3,3,1,12,true,true,580000,37100,7400,838800
1811,Porto Alegre,450,6,2,8,-,true,true,400000,19700,7200,426900
1812,São Paulo,286,4,4,5,-,true,true,1080000,112500,16300,1209000
1813,São Paulo,276,4,6,4,10,true,true,450000,171300,5800,972100
1814,São Paulo,60,1,2,1,9,true,true,380000,0,4900,469300
1815,São Paulo,40,1,1,0,-,true,true,88000,4800,1400,94200
1816,Rio de Janeiro,57,2,2,1,4,true,true,180000,0,2400,242400
1817,Campinas,45,1,1,1,3,true,true,60000,3800,800,116700
1818,São Paulo,42,1,1,1,12,true,true,350000,2200,4500,427900
1819,Rio de Janeiro,68,2,1,1,2,true,true,110000,4200,1500,171700
1820,Rio de Janeiro,120,3,2,1,4,true,true,480000,35500,6200,686700
1821,São Paulo,360,4,4,2,4,true,true,1105000,0,14100,1453000
1822,São Paulo,140,2,1,0,-,true,true,165000,16700,2500,184200
1823,São Paulo,35,1,1,0,-,true,true,110000,3000,1400,114400
1824,São Paulo,16,1,1,0,1,true,true,91000,0,1200,92200
1825,Campinas,110,3,1,1,13,true,true,110000,10800,900,199700
1826,Campinas,69,2,1,1,7,true,true,98000,6000,1300,153800
1827,Belo Horizonte,59,2,2,0,2,true,true,140000,11200,1900,204100
1828,São Paulo,336,4,4,6,-,true,true,767700,95000,11600,874300
1829,São Paulo,210,4,4,3,5,true,true,500000,91700,6400,878100
1830,São Paulo,242,4,5,4,4,true,true,1200000,93000,15300,1635000
1831,Porto Alegre,28,1,1,0,4,true,true,55000,2100,900,93000
1832,São Paulo,220,4,3,3,2,true,true,900000,120300,11500,1453000
1833,Porto Alegre,62,3,2,1,1,true,true,162900,5400,2400,219200
1834,Rio de Janeiro,111,3,2,2,11,true,true,350000,32500,4600,497100
1835,Campinas,159,3,2,2,1,true,true,250000,33400,3200,386600
1836,Rio de Janeiro,70,2,2,0,5,true,true,225000,10000,2900,306900
1837,São Paulo,150,3,2,2,2,true,true,200000,38400,2600,359100
1838,São Paulo,50,1,1,1,17,true,true,400000,12600,5100,495300
1839,São Paulo,450,3,3,8,-,true,true,501500,40000,7600,549100
1840,Belo Horizonte,64,2,1,1,2,true,true,85000,7800,1200,119200
1841,São Paulo,600,5,7,5,-,true,true,520000,15500,7900,543400
1842,São Paulo,70,1,1,0,8,true,true,320000,10900,4100,378000
1843,São Paulo,76,3,2,0,6,true,true,124000,9500,1600,251100
1844,São Paulo,280,3,3,4,-,true,true,652000,83400,9900,745300
1845,São Paulo,172,2,4,3,23,true,true,1100000,77500,14000,1332000
1846,São Paulo,246,3,4,4,3,true,true,1200000,75000,15300,1670000
1847,São Paulo,64,2,1,1,8,true,true,150000,10100,2000,202100
1848,Belo Horizonte,30,1,1,0,2,true,true,55000,0,800,55800
1849,São Paulo,80,3,2,1,-,true,true,217000,4700,3300,225000
1850,Rio de Janeiro,87,3,1,1,7,true,true,180000,15900,2400,276900
1851,Porto Alegre,50,1,1,1,7,true,true,80000,0,1200,106200
1852,Porto Alegre,50,1,1,0,6,true,true,80000,2000,1200,123200
1853,São Paulo,30,1,1,0,-,true,true,185000,16700,2800,204500
1854,São Paulo,43,1,1,0,6,true,true,147200,4200,600,173900
1855,São Paulo,300,3,4,0,-,true,true,1000000,200000,15100,1215000
1856,Campinas,58,1,2,1,10,true,true,75000,4000,1000,165000
1857,São Paulo,30,1,1,1,14,true,true,166000,1800,2200,307900
1858,São Paulo,54,2,1,0,2,true,true,170000,13500,2200,242800
1859,Rio de Janeiro,80,2,2,1,2,true,true,350000,16700,4600,476300
1860,Porto Alegre,62,2,2,1,10,true,true,160000,900,2400,211300
1861,Porto Alegre,66,2,2,0,3,true,true,120000,5000,1800,181800
1862,São Paulo,80,2,2,1,2,true,true,150000,3600,2000,195600
1863,São Paulo,560,4,4,7,2,true,true,1500000,500000,19100,2879000
1864,São Paulo,30,1,1,1,5,true,true,390000,8400,5000,453400
1865,São Paulo,50,1,1,0,-,true,true,160000,0,2500,162500
1866,Rio de Janeiro,81,2,2,1,8,true,true,350000,22500,4600,438600
1867,São Paulo,218,4,4,4,3,true,true,493000,145400,6300,893500
1868,Campinas,54,2,1,2,6,true,true,120000,4600,1600,156200
1869,Rio de Janeiro,60,2,1,0,-,true,true,120000,0,1900,121900
1870,Belo Horizonte,100,3,1,1,2,true,true,120000,0,1600,136600
1871,São Paulo,156,2,3,2,8,true,true,1359000,29200,17300,1609000
1872,São Paulo,300,3,4,3,1,true,true,400000,0,5100,705100
1873,São Paulo,39,1,1,1,3,true,true,250000,11500,3200,332700
1874,São Paulo,150,4,3,4,-,true,true,300000,50000,4600,354600
1875,São Paulo,140,2,3,4,10,true,true,617000,41700,7900,896600
1876,São Paulo,240,4,4,3,1,true,true,420000,79200,5400,784600
1877,São Paulo,70,2,1,0,-,true,true,130000,7000,2000,139000
1878,Campinas,462,4,7,4,-,true,true,500000,59000,7600,566600
1879,Campinas,67,3,1,1,1,true,true,89000,4000,1200,129300
1880,Belo Horizonte,100,2,1,0,-,true,true,120000,6300,2000,128300
1881,Belo Horizonte,113,3,3,1,1,true,true,110000,8800,1500,155300
1882,São Paulo,99,3,2,1,3,true,true,250000,9000,3200,301200
1883,São Paulo,120,2,1,1,-,true,true,210000,17500,3200,230700
1884,São Paulo,110,3,2,3,-,true,true,260000,40000,4000,304000
1885,Porto Alegre,38,1,1,1,5,true,true,98000,5100,1500,138800
1886,Campinas,100,3,1,1,7,true,true,109000,9400,1400,219700
1887,Rio de Janeiro,135,4,2,2,7,true,true,420000,46800,5500,610100
1888,Rio de Janeiro,130,3,2,1,10,true,true,325000,45000,4200,508000
1889,Belo Horizonte,80,3,2,1,1,true,true,120000,12200,1600,164300
1890,São Paulo,300,3,2,5,-,true,true,1150000,200000,17300,1367000
1891,Belo Horizonte,72,2,1,2,4,true,true,130000,9700,1800,161000
1892,São Paulo,70,3,2,2,3,true,true,165900,4400,2200,278300
1893,São Paulo,395,4,4,3,16,true,true,1500000,83400,19100,1816000
1894,Porto Alegre,540,6,8,3,-,true,true,1500000,46700,26700,1573000
1895,São Paulo,318,4,6,4,13,true,true,1016000,0,12900,1374000
1896,Belo Horizonte,42,2,1,1,5,true,true,90000,2700,1200,110900
1897,Rio de Janeiro,52,1,1,1,1,true,true,140000,2200,1900,205400
1898,São Paulo,167,3,2,1,7,true,true,1085000,53200,13800,1331000
1899,São Paulo,50,1,1,0,6,true,true,120900,12900,800,181300
1900,Campinas,65,2,2,1,4,true,true,100000,4500,1300,147000
1901,São Paulo,140,4,4,3,5,true,true,360000,58300,4600,602900
1902,São Paulo,92,3,1,1,3,true,true,160000,400,2100,196500
1903,Belo Horizonte,150,4,3,3,5,true,true,330000,29300,4400,483700
1904,Campinas,60,1,1,0,3,true,true,130000,7500,1700,164200
1905,Belo Horizonte,308,4,5,6,18,true,true,1350000,17300,18000,1585000
1906,São Paulo,159,2,3,1,8,true,true,323000,4900,4100,459600
1907,São Paulo,240,3,5,4,-,true,true,750000,45900,11300,807200
1908,Porto Alegre,65,3,2,0,5,true,true,169000,8600,2500,225100
1909,São Paulo,200,3,2,2,-,true,true,500000,16700,7600,524300
1910,Campinas,130,3,5,2,2,true,true,361000,20900,4600,503500
1911,Rio de Janeiro,21,1,1,0,11,true,true,120000,0,1600,173500
1912,São Paulo,68,2,1,1,5,true,true,160000,14200,2100,228800
1913,Porto Alegre,40,1,1,0,4,true,true,90000,3800,1400,140200
1914,Belo Horizonte,310,4,3,6,-,true,true,310000,18700,5100,333800
1915,Campinas,103,2,1,1,4,true,true,106000,8400,1400,179300
1916,Rio de Janeiro,650,5,7,4,-,true,true,1500000,424100,22900,2357000
1917,Campinas,30,1,1,0,5,true,true,50000,1000,700,89700
1918,Belo Horizonte,155,4,5,3,5,true,true,500000,59300,6700,686000
1919,São Paulo,107,2,2,1,-,true,true,260000,0,3300,303300
1920,São Paulo,340,4,5,5,16,true,true,1200000,340000,15300,2075000
1921,Belo Horizonte,70,3,1,0,3,true,true,120000,10400,1600,159500
1922,Belo Horizonte,58,2,2,1,4,true,true,95000,8600,1300,135900
1923,São Paulo,70,3,2,1,6,true,true,330000,15900,4200,407000
1924,São Paulo,240,3,3,0,-,true,true,430000,29200,6500,495700
1925,Rio de Janeiro,130,3,2,1,5,true,true,280000,30000,3700,443700
1926,São Paulo,310,5,6,5,5,true,true,1000000,183400,12700,1886000
1927,Rio de Janeiro,60,1,1,1,10,true,true,130000,5400,1700,210200
1928,São Paulo,319,4,6,5,16,true,true,1005000,290000,12800,1808000
1929,Porto Alegre,81,2,1,0,2,true,true,115000,500,1700,152200
1930,Belo Horizonte,306,3,5,0,-,true,true,800000,0,13200,813200
1931,São Paulo,113,2,2,1,6,true,true,300000,5000,3900,408900
1932,São Paulo,280,3,4,2,3,true,true,600000,105900,7700,1114000
1933,São Paulo,270,3,3,3,16,true,true,1300000,95900,16500,1692000
1934,São Paulo,78,2,1,1,7,true,true,200000,3500,2600,270600
1935,São Paulo,60,1,2,1,-,true,true,150000,3000,2300,155300
1936,São Paulo,30,1,1,0,-,true,true,75000,5900,1200,82100
1937,Rio de Janeiro,58,2,1,1,10,true,true,80000,7700,1100,148200
1938,Rio de Janeiro,65,1,1,0,2,true,true,180000,3000,2400,220400
1939,São Paulo,58,1,1,1,1,true,true,174000,7500,2300,241800
1940,São Paulo,22,1,1,0,25,true,true,210000,4000,2700,255200
1941,São Paulo,32,1,1,1,13,true,true,320000,17400,4100,422600
1942,Campinas,176,3,5,3,3,true,true,520000,44200,6600,705800
1943,Belo Horizonte,350,7,5,4,-,true,true,750000,35700,12300,798000
1944,São Paulo,260,4,4,2,5,true,true,440000,58400,5600,761000
1945,São Paulo,100,2,1,0,-,true,true,230000,19800,3500,253300
1946,Rio de Janeiro,65,1,1,0,10,true,true,350000,14200,4600,443800
1947,Rio de Janeiro,600,7,6,1,12,true,true,1500000,116700,19400,1766000
1948,Rio de Janeiro,300,4,3,1,-,true,true,500000,36700,7700,544400
1949,São Paulo,430,4,3,4,-,true,true,850000,142700,12800,1006000
1950,São Paulo,260,5,5,4,20,true,true,800000,262000,10200,1472000
1951,Belo Horizonte,211,3,4,3,-,true,true,840000,29200,13800,883000
1952,Campinas,103,3,2,1,9,true,true,180000,11300,2300,282100
1953,Porto Alegre,62,2,2,0,2,true,true,155600,10000,2300,207900
1954,Rio de Janeiro,80,2,2,1,1,true,true,349900,20500,4600,485000
1955,São Paulo,60,1,1,1,-,true,true,118000,0,1800,119800
1956,São Paulo,27,1,1,0,5,true,true,350000,100,4500,495000
1957,São Paulo,486,4,6,5,8,true,true,486100,377200,6200,1331000
1958,São Paulo,40,1,1,1,12,true,true,168000,10200,2200,228400
1959,Rio de Janeiro,60,2,1,0,7,true,true,280000,9700,3700,374000
1960,Rio de Janeiro,64,2,2,0,10,true,true,220000,10400,2900,299800
1961,Campinas,660,5,7,4,17,true,true,1000000,110000,12700,1661000
1962,São Paulo,62,3,2,1,5,true,true,240000,5400,3100,297200
1963,Porto Alegre,50,2,1,1,3,true,true,94600,0,1400,114000
1964,São Paulo,380,3,4,4,-,true,true,800000,95200,12100,907300
1965,Campinas,134,3,3,2,7,true,true,250000,17700,3200,370900
1966,São Paulo,74,2,2,0,4,true,true,360000,21000,4600,496100
1967,Belo Horizonte,68,2,2,1,5,true,true,250000,20700,3400,392400
1968,Rio de Janeiro,33,1,1,0,2,true,true,160000,7200,2100,216300
1969,São Paulo,60,2,1,0,-,true,true,110000,0,1700,111700
1970,São Paulo,50,1,1,1,25,true,true,370000,3000,4700,448400
1971,São Paulo,57,2,2,2,6,true,true,163000,18900,2100,267400
1972,São Paulo,39,1,1,1,4,true,true,99500,4900,1300,158600
1973,Porto Alegre,45,1,1,1,1,true,true,76000,0,1200,80200
1974,São Paulo,221,3,2,2,7,true,true,450000,20000,5800,673800
1975,São Paulo,140,3,2,0,8,true,true,179900,37500,2300,469700
1976,Rio de Janeiro,650,5,4,2,9,true,true,900000,143100,11600,1627000
1977,São Paulo,210,5,4,1,-,true,true,1500000,166700,22600,1689000
1978,Belo Horizonte,100,4,2,3,10,true,true,260000,23800,3500,390000
1979,Rio de Janeiro,220,3,3,2,4,true,true,900000,36700,11600,1198000
1980,São Paulo,42,1,1,0,1,true,true,115000,2700,1500,159200
1981,Rio de Janeiro,98,3,2,0,7,true,true,300000,18500,3900,411500
1982,Rio de Janeiro,150,3,1,2,2,true,true,520000,71000,6800,926800
1983,São Paulo,170,3,3,4,-,true,true,350000,22200,5300,377500
1984,São Paulo,60,2,1,0,-,true,true,161000,0,2500,163600
1985,São Paulo,120,3,4,2,-,true,true,345000,14900,5200,383800
1986,São Paulo,142,2,3,2,18,true,true,355000,49200,4500,548700
1987,Porto Alegre,90,2,2,1,18,true,true,250000,8400,3700,312100
1988,São Paulo,140,3,3,2,3,true,true,600000,50000,7700,897700
1989,Rio de Janeiro,26,1,1,0,3,true,true,120000,2600,1600,156700
1990,São Paulo,20,1,1,0,-,true,true,79000,0,1100,80100
1991,Porto Alegre,24,1,1,1,-,true,true,55000,0,900,55900
1992,Rio de Janeiro,140,3,2,0,5,true,true,290000,19400,3800,348200
1993,Belo Horizonte,134,4,2,3,1,true,true,300000,31300,4000,400300
1994,São Paulo,400,5,4,2,12,true,true,200000,83200,2600,553300
1995,Rio de Janeiro,18,1,1,0,3,true,true,65000,4900,900,133600
1996,Rio de Janeiro,62,1,1,1,8,true,true,280000,18200,3700,456900
1997,São Paulo,192,3,3,3,16,true,true,650000,63000,8300,900300
1998,São Paulo,80,3,2,1,6,true,true,179000,12800,2300,279100
1999,Porto Alegre,38,1,1,1,9,true,true,290000,4200,4300,333500
2000,Belo Horizonte,112,2,3,2,10,true,true,140000,9200,1900,195300
2001,Rio de Janeiro,15,1,1,0,1,true,true,110000,0,1500,161500
2002,São Paulo,29,1,1,0,5,true,true,104300,0,1400,131400
2003,Belo Horizonte,55,2,1,1,1,true,true,105000,0,1400,126400
2004,São Paulo,88,3,1,2,5,true,true,250000,8400,3200,451600
2005,São Paulo,100,4,1,0,-,true,true,160000,10000,2500,172500
2006,Belo Horizonte,92,3,2,1,1,true,true,180000,14100,2400,223300
2007,Rio de Janeiro,154,4,2,2,2,true,true,425000,31300,5500,646800
2008,São Paulo,240,4,3,3,6,true,true,1200000,70000,15300,1570000
2009,Porto Alegre,28,1,1,0,1,true,true,134000,400,2000,136400
2010,São Paulo,50,1,1,0,-,true,true,125000,3400,1900,130300
2011,São Paulo,180,3,3,2,4,true,true,800000,41300,10200,1062000
2012,São Paulo,35,1,1,0,3,true,true,85000,0,1100,101100
2013,Rio de Janeiro,64,2,1,1,2,true,true,350000,0,4600,354600
2014,São Paulo,60,2,1,1,8,true,true,131000,500,1700,188200
2015,São Paulo,239,4,4,3,-,true,true,595000,50000,9000,654000
2016,São Paulo,130,3,2,1,10,true,true,230000,10900,3000,353900
2017,Campinas,85,2,2,0,6,true,true,91800,9800,1200,183800
2018,Rio de Janeiro,75,2,2,1,9,true,true,200000,31000,2600,298600
2019,São Paulo,90,2,2,1,-,true,true,180000,0,2800,182800
2020,Belo Horizonte,100,3,1,1,2,true,true,150000,8500,2000,190500
2021,São Paulo,70,2,2,1,1,true,true,145000,0,1900,213900
2022,Rio de Janeiro,86,3,1,0,3,true,true,125800,8000,1700,215500
2023,Rio de Janeiro,29,1,1,0,2,true,true,150000,2600,2000,203000
2024,Porto Alegre,82,2,2,1,5,true,true,170000,6700,2500,224200
2025,São Paulo,55,2,1,1,5,true,true,162500,0,2100,228600
2026,Porto Alegre,47,1,1,1,1,true,true,220000,0,3300,263300
2027,São Paulo,33,1,1,0,15,true,true,400000,0,5100,460100
2028,Campinas,50,1,1,1,11,true,true,180000,13000,2300,260300
2029,São Paulo,159,4,2,0,3,true,true,190000,63400,2500,462300
2030,Belo Horizonte,62,3,2,1,4,true,true,110000,6300,1500,140800
2031,São Paulo,80,2,1,2,-,true,true,156900,0,2400,159300
2032,São Paulo,170,3,4,3,21,true,true,500000,45000,6400,701400
2033,Porto Alegre,68,2,2,1,1,true,true,180000,8200,2700,230900
2034,São Paulo,300,4,4,3,-,true,true,508000,28400,7700,544100
2035,Porto Alegre,50,2,1,1,2,true,true,146000,0,2200,158200
2036,Rio de Janeiro,80,2,2,1,10,true,true,200000,27900,2600,312900
2037,Porto Alegre,40,2,1,1,3,true,true,82000,3200,1200,116400
2038,São Paulo,270,3,4,2,6,true,true,650000,10000,8300,957300
2039,Porto Alegre,75,3,1,1,1,true,true,110000,4700,1700,152400
2040,Porto Alegre,60,1,2,2,15,true,true,280000,1700,4100,335800
2041,São Paulo,300,4,5,4,1,true,true,750000,133400,9600,1253000
2042,Belo Horizonte,73,2,1,2,1,true,true,120000,6200,1600,142800
2043,Belo Horizonte,85,2,1,1,1,true,true,100000,6100,1400,130500
2044,São Paulo,100,3,3,1,-,true,true,240000,0,3700,243700
2045,Porto Alegre,49,1,1,0,7,true,true,68000,2100,1000,102100
2046,São Paulo,35,1,1,0,5,true,true,180000,0,2300,224300
2047,São Paulo,240,3,4,1,6,true,true,1485000,40000,18900,1714000
2048,São Paulo,45,1,1,0,-,true,true,90000,0,1400,91400
2049,São Paulo,55,2,1,1,9,true,true,280000,0,3600,340100
2050,São Paulo,305,4,3,4,6,true,true,1100000,213400,14000,1670000
2051,Belo Horizonte,622,5,5,6,-,true,true,1000000,92400,16400,1109000
2052,Belo Horizonte,55,2,1,1,2,true,true,120000,6700,1600,153300
2053,Rio de Janeiro,42,1,1,0,12,true,true,230000,16700,3000,309700
2054,Belo Horizonte,132,3,3,2,2,true,true,150000,20700,2000,172700
2055,Belo Horizonte,53,2,1,0,6,true,true,85000,7600,1200,156400
2056,São Paulo,998,7,10,4,-,true,true,1500000,500000,22600,2023000
2057,São Paulo,22,1,1,0,4,true,true,241000,0,3100,279100
2058,Rio de Janeiro,35,1,1,0,12,true,true,85000,6000,1100,127100
2059,São Paulo,189,4,2,2,4,true,true,800000,55900,10200,1063000
2060,São Paulo,375,4,5,3,-,true,true,900000,85000,13600,998600
2061,São Paulo,65,2,1,1,3,true,true,140000,4700,1800,178000
2062,São Paulo,462,4,6,4,-,true,true,800000,108100,12100,920200
2063,São Paulo,150,2,1,0,1,true,true,228500,10000,2900,259400
2064,Campinas,350,2,2,2,-,true,true,430000,15000,6500,451500
2065,São Paulo,260,4,5,4,15,true,true,750000,0,9600,1107000
2066,Porto Alegre,61,1,1,0,-,true,true,110000,16000,1700,135700
2067,São Paulo,175,4,3,2,-,true,true,289000,0,4400,293400
2068,Porto Alegre,70,2,1,0,-,true,true,180000,2300,2700,212000
2069,Rio de Janeiro,60,2,1,1,10,true,true,150000,8000,2000,212000
2070,Campinas,296,6,4,8,-,true,true,520000,37500,7900,565400
2071,Rio de Janeiro,96,2,2,1,10,true,true,290000,10900,3800,404200
2072,São Paulo,150,4,2,3,2,true,true,737700,80000,9400,1130000
2073,São Paulo,375,4,4,3,-,true,true,640000,7500,9700,657200
2074,Campinas,70,3,1,1,1,true,true,150000,1700,2000,213700
2075,São Paulo,127,4,3,2,4,true,true,493000,47200,6300,650500
2076,Belo Horizonte,67,2,2,2,3,true,true,280000,0,3800,368800
2077,São Paulo,50,1,2,1,1,true,true,330000,21400,4200,430600
2078,Rio de Janeiro,56,2,1,0,4,true,true,150000,0,2000,202200
2079,São Paulo,55,2,1,1,19,true,true,210000,8400,2700,281900
2080,São Paulo,34,1,1,0,-,true,true,90000,4600,1400,96000
2081,Campinas,68,2,1,0,4,true,true,93000,4800,1200,148800
2082,São Paulo,80,2,1,0,4,true,true,177700,0,2300,220000
2083,Campinas,120,3,1,1,3,true,true,180000,8000,2300,255300
2084,Campinas,50,1,1,1,10,true,true,160000,1300,2100,235200
2085,Campinas,78,2,2,1,1,true,true,120000,12700,1600,177500
2086,Rio de Janeiro,90,2,2,1,9,true,true,380000,8000,4900,480900
2087,Belo Horizonte,320,5,4,6,-,true,true,800000,58400,13200,871600
2088,Rio de Janeiro,560,5,6,4,14,true,true,263300,113300,3400,599000
2089,Rio de Janeiro,25,1,1,0,8,true,true,185000,2500,2400,249900
2090,Porto Alegre,37,1,1,0,3,true,true,65000,2300,1000,95300
2091,Rio de Janeiro,95,3,1,0,16,true,true,360000,28300,4700,497800
2092,São Paulo,130,3,3,2,7,true,true,165000,41400,2100,348500
2093,Belo Horizonte,270,5,4,6,-,true,true,391000,12500,5300,408800
2094,Belo Horizonte,40,1,1,0,-,true,true,65000,5900,1100,72000
2095,Belo Horizonte,65,2,2,3,7,true,true,145000,11000,2000,194600
2096,São Paulo,45,1,1,0,22,true,true,101500,3300,1300,141100
2097,São Paulo,20,1,1,0,1,true,true,206000,0,2700,208700
2098,São Paulo,720,4,5,5,17,true,true,650000,352000,8300,1657000
2099,Belo Horizonte,80,3,2,2,1,true,true,250000,12600,3400,294000
2100,Belo Horizonte,90,2,1,0,1,true,true,100000,3900,1400,105300
2101,São Paulo,60,1,2,0,-,true,true,106200,100,1600,107900
2102,Belo Horizonte,45,1,1,1,4,true,true,340000,19800,4600,519400
2103,São Paulo,100,1,2,0,-,true,true,310000,0,4000,746000
2104,Belo Horizonte,553,4,6,3,3,true,true,1087000,145900,14500,1527000
2105,São Paulo,250,4,3,2,-,true,true,390000,47500,5900,443400
2106,Campinas,92,3,2,3,17,true,true,370000,29900,4700,468900
2107,São Paulo,98,1,2,0,27,true,true,1500000,13000,19100,1850000
2108,Campinas,114,3,2,1,4,true,true,140000,17600,1800,256100
2109,São Paulo,27,1,1,1,6,true,true,190000,5900,2500,263400
2110,Porto Alegre,225,1,2,0,-,true,true,350000,21800,6300,378100
2111,São Paulo,30,1,1,0,3,true,true,170000,0,2200,210200
2112,Porto Alegre,135,3,3,4,5,true,true,400000,0,5900,425900
2113,Campinas,150,4,3,4,-,true,true,400000,33400,6100,514500
2114,Belo Horizonte,190,4,2,0,10,true,true,558000,41700,7500,707200
2115,Porto Alegre,47,1,1,1,1,true,true,220000,0,3300,263300
2116,Rio de Janeiro,120,3,1,1,-,true,true,115000,6700,1800,123500
2117,São Paulo,90,3,2,1,4,true,true,206600,9200,2700,308500
2118,São Paulo,350,4,5,2,-,true,true,750000,0,11300,761300
2119,São Paulo,160,3,4,2,-,true,true,430000,20900,6500,457400
2120,Rio de Janeiro,150,3,2,0,5,true,true,250000,20000,3300,453300
2121,Rio de Janeiro,35,1,1,0,3,true,true,200000,8600,2600,290200
2122,Porto Alegre,25,1,1,0,-,true,true,55000,0,900,55900
2123,São Paulo,240,4,4,4,26,true,true,1300000,112100,16500,1754000
2124,São Paulo,150,4,2,2,13,true,true,440000,3700,5600,619300
2125,Rio de Janeiro,20,1,1,0,-,true,true,70000,0,1000,71000
2126,Campinas,85,3,2,1,4,true,true,134100,11000,600,214700
2127,São Paulo,50,2,1,1,6,true,true,190000,0,1500,231500
2128,São Paulo,197,3,3,2,8,true,true,600000,137500,7700,1165000
2129,São Paulo,70,3,2,1,7,true,true,280000,6700,3600,370300
2130,Rio de Janeiro,220,3,2,2,8,true,true,350000,26500,4600,566100
2131,Belo Horizonte,270,4,3,2,3,true,true,480000,24100,6400,630500
2132,Porto Alegre,100,3,2,2,2,true,true,249900,9200,3700,327800
2133,São Paulo,195,4,6,3,12,true,true,800000,75000,10200,1025000
2134,São Paulo,160,3,3,2,-,true,true,420000,34200,6400,460600
2135,São Paulo,470,4,6,3,-,true,true,720000,113400,10900,844300
2136,Campinas,60,3,2,1,5,true,true,120000,0,1600,158200
2137,São Paulo,300,4,4,3,-,true,true,1290000,58400,19400,1368000
2138,São Paulo,330,5,6,2,11,true,true,895000,25000,11400,1011000
2139,Porto Alegre,109,1,2,2,3,true,true,430000,8700,6300,494600
2140,São Paulo,240,4,5,4,15,true,true,1200000,100000,15300,1685000
2141,São Paulo,150,3,2,5,-,true,true,230000,26000,3500,259500
2142,São Paulo,200,3,2,1,2,true,true,450000,37500,5800,668300
2143,Belo Horizonte,140,4,3,1,2,true,true,230000,16700,3100,297300
2144,São Paulo,106,2,2,2,1,true,true,1060000,33400,13500,1224000
2145,Porto Alegre,92,2,2,1,2,true,true,210000,261000,3100,538600
2146,São Paulo,35,1,1,1,7,true,true,220000,10000,2800,270800
2147,São Paulo,70,3,2,1,3,true,true,290000,2500,3700,416200
2148,São Paulo,74,2,1,2,9,true,true,660000,42400,8400,820800
2149,São Paulo,69,2,2,2,5,true,true,190000,21000,2500,298800
2150,São Paulo,50,1,1,0,-,true,true,83000,0,1300,84300
2151,Porto Alegre,450,5,3,6,-,true,true,476000,9400,8500,493900
2152,Rio de Janeiro,68,2,1,0,5,true,true,100000,40000,1300,200600
2153,São Paulo,71,1,1,1,11,true,true,300000,23800,3900,492700
2154,Rio de Janeiro,69,2,1,1,9,true,true,137000,5600,1800,194400
2155,Belo Horizonte,32,1,1,1,9,true,true,150000,12600,2000,184300
2156,São Paulo,57,2,1,1,8,true,true,180000,5000,2300,222300
2157,São Paulo,28,1,1,0,1,true,true,220000,7200,2800,280000
2158,São Paulo,39,1,1,0,8,true,true,200000,0,2600,232600
2159,Porto Alegre,140,3,3,0,2,true,true,170000,12500,2500,260000
2160,São Paulo,160,3,3,2,-,true,true,450000,20900,6800,477700
2161,São Paulo,235,3,3,1,3,true,true,515000,57500,6600,837600
2162,São Paulo,171,3,2,1,13,true,true,220000,30000,2800,372800
2163,Rio de Janeiro,139,3,2,2,1,true,true,600000,54000,7800,866500
2164,Belo Horizonte,160,4,3,2,5,true,true,230000,23000,3100,332400
2165,Campinas,60,2,1,1,-,true,true,80000,6000,1100,135600
2166,São Paulo,134,3,3,3,8,true,true,212500,37500,2700,420700
2167,Belo Horizonte,70,2,1,1,11,true,true,130000,12500,1800,234000
2168,Rio de Janeiro,57,2,1,0,1,true,true,153000,0,2000,165000
2169,São Paulo,240,3,3,4,6,true,true,550000,183400,7000,1000000
2170,São Paulo,50,1,1,0,-,true,true,80000,3400,1300,84700
2171,Rio de Janeiro,120,3,2,1,8,true,true,355000,19000,4600,525600
2172,Porto Alegre,200,3,3,4,2,true,true,120000,26000,1800,437800
